userid,total_events,first_event,last_event,event_diversity,num_courses,active_days,avg_grade,grade_std,num_assessments,cluster,archetype
8957,-0.3720862096584127,1666012048,1674558748,-0.1414367596823657,-0.3760408542926805,-0.6918778875700972,0.2231555143641094,0.862979827224935,0.3710009550372112,1,Struggling but Trying
8958,-0.5158865004963447,1662041201,1674585152,-0.2331929275651394,-0.3760408542926805,1.116140014380012,-0.2093293633873678,1.207886678597622,0.7714979743333984,1,Struggling but Trying
8960,-1.069830229550291,1664286063,1664286521,-2.068316285220614,-2.382797336335352,-2.2690849935265756,-2.5394608139582022,-1.9486684610690732,2.2733617966941004,0,Efficient Learner
8961,-0.8822646328051624,1662413122,1668291941,-1.5177792779239718,-1.0449596816402376,-1.845931867538252,-2.538886371164898,-1.9454544926238404,2.2733617966941004,0,Efficient Learner
8964,2.1963120284382143,1662060706,1674602553,1.326661926442014,2.634093868771327,1.116140014380012,-1.2176679465664304,0.5505450319817045,2.2733617966941004,1,Struggling but Trying
8965,2.1963120284382143,1662451427,1674556542,0.5926125833798241,2.2996344550975483,0.9237976843853194,-1.7191804402369322,0.1031485880625738,2.2733617966941004,1,Struggling but Trying
8966,-0.5121351885614421,1667034588,1674563305,-0.2331929275651394,-0.3760408542926805,-1.1150310135584207,-0.1599272831632512,1.257132286699051,0.7714979743333984,1,Struggling but Trying
8967,-0.5684048675849807,1664367462,1674557599,0.1338317439659554,-0.710500267966459,0.0390229664097341,-0.1356595946321062,1.1511755287036654,0.3710009550372112,1,Struggling but Trying
8969,-0.8597567611957471,1667646641,1674412813,-0.6002175990962344,-0.3760408542926805,-1.461247207548867,-0.1309133630316269,0.9148598384487886,0.5712494646853049,0,Efficient Learner
8971,-0.5208882497428814,1664163672,1674492157,-0.2331929275651394,-0.3760408542926805,0.1159598984076111,0.0467380857743032,0.9121452595309784,0.471125209861258,1,Struggling but Trying
8975,-0.387091457398023,1667139093,1674389407,-0.0496805917995919,-0.3760408542926805,-1.2689048775541747,-0.1546876685940265,1.073780292852195,0.6713737195093517,1,Struggling but Trying
