id,timemodified,userid,courseid,finalgrade,itemtype
318174,1674412466,9452,42,7,mod
318173,1674412132,9452,42,9,mod
318172,1669293418,9452,42,-1,mod
318171,1669293418,9452,42,-1,mod
318170,1669293418,9452,42,-1,mod
318169,1669293418,9452,42,-1,mod
318167,1669293418,9452,42,-1,mod
318165,1669293418,9452,42,-1,mod
318163,1669293418,9452,42,-1,mod
318162,1669293418,9452,42,-1,mod
318159,1669293418,9452,42,-1,mod
318158,1669293418,9452,42,-1,mod
318157,1669293418,9452,42,-1,mod
318156,1669293418,9452,42,-1,mod
318155,1669293418,9452,42,-1,mod
318153,1669293418,9452,42,-1,mod
318152,1669293418,9452,42,-1,mod
318151,1669293418,9452,42,-1,mod
318146,1669293418,9452,42,-1,mod
318145,1669293418,9452,42,-1,mod
318144,1669293418,9452,42,-1,mod
318143,1669293418,9452,42,-1,mod
318142,1669293418,9452,42,-1,mod
318141,1669293418,9452,42,-1,mod
318139,1669293418,9452,42,-1,mod
318136,1669293418,9452,42,-1,mod
318135,1669293418,9452,42,-1,mod
318134,1669293418,9452,42,-1,mod
318133,1669293418,9452,42,-1,mod
318132,1669293418,9452,42,-1,mod
318131,1669293418,9452,42,-1,mod
318129,1669293418,9452,42,-1,mod
318121,1669293418,9452,42,-1,category
318120,1669293418,9452,42,-1,category
318119,1669293418,9452,42,-1,category
318118,1669293418,9452,42,-1,category
318117,1674569681,9452,42,5,course
318116,1666696038,9452,42,7,mod
318047,1674569681,9453,42,-1,course
318042,1669293413,8960,42,-1,mod
318041,1669293413,8960,42,-1,mod
318040,1669293413,8960,42,-1,mod
318037,1669293413,8960,42,-1,mod
318032,1669293413,8960,42,-1,mod
318031,1669293413,8960,42,-1,mod
318030,1669293413,8960,42,-1,mod
318029,1669293413,8960,42,-1,mod
318028,1669293413,8960,42,-1,mod
318027,1669293413,8960,42,-1,mod
318022,1669293413,8960,42,-1,mod
318021,1669293413,8960,42,-1,mod
318019,1669293413,8960,42,-1,mod
318017,1669293413,8960,42,-1,mod
318016,1669293413,8960,42,-1,mod
318013,1669293413,8960,42,-1,mod
318012,1669293413,8960,42,-1,mod
318011,1669293413,8960,42,-1,mod
318010,1669293413,8960,42,-1,mod
318009,1669293413,8960,42,-1,mod
318007,1669293413,8960,42,-1,mod
318006,1669293413,8960,42,-1,mod
318005,1669293413,8960,42,-1,mod
318000,1669293413,8960,42,-1,mod
317999,1669293413,8960,42,-1,mod
317998,1669293413,8960,42,-1,mod
317997,1669293413,8960,42,-1,mod
317996,1669293413,8960,42,-1,mod
317995,1669293413,8960,42,-1,mod
317993,1669293413,8960,42,-1,mod
317990,1669293413,8960,42,-1,mod
317989,1669293413,8960,42,-1,mod
317988,1669293413,8960,42,-1,mod
317987,1669293413,8960,42,-1,mod
317986,1669293413,8960,42,-1,mod
317985,1669293413,8960,42,-1,mod
317984,1669293413,8960,42,-1,mod
317983,1669293413,8960,42,-1,mod
317975,1669293413,8960,42,-1,category
317974,1669293413,8960,42,-1,category
317973,1669293413,8960,42,-1,category
317972,1669293413,8960,42,-1,category
317971,1674569681,8960,42,-1,course
317969,1669293414,8961,42,-1,mod
317968,1669293414,8961,42,-1,mod
317967,1669293414,8961,42,-1,mod
317964,1669293414,8961,42,-1,mod
317959,1669293414,8961,42,-1,mod
317958,1669293414,8961,42,-1,mod
317957,1669293414,8961,42,-1,mod
317956,1669293414,8961,42,-1,mod
317955,1669293414,8961,42,-1,mod
317954,1669293414,8961,42,-1,mod
317948,1669293414,8961,42,-1,mod
317946,1669293414,8961,42,-1,mod
317944,1669293414,8961,42,-1,mod
317943,1669293414,8961,42,-1,mod
317940,1669293414,8961,42,-1,mod
317938,1669293414,8961,42,-1,mod
317937,1669293414,8961,42,-1,mod
317934,1669293414,8961,42,-1,mod
317933,1669293414,8961,42,-1,mod
317932,1669293414,8961,42,-1,mod
317927,1669293414,8961,42,-1,mod
317926,1669293414,8961,42,-1,mod
317925,1669293414,8961,42,-1,mod
317924,1669293414,8961,42,-1,mod
317923,1669293414,8961,42,-1,mod
317922,1669293414,8961,42,-1,mod
317920,1669293414,8961,42,-1,mod
317917,1669293414,8961,42,-1,mod
317916,1669293414,8961,42,-1,mod
317915,1669293414,8961,42,-1,mod
317914,1669293414,8961,42,-1,mod
317913,1669293414,8961,42,-1,mod
317912,1669293414,8961,42,-1,mod
317911,1669293414,8961,42,-1,mod
317910,1669293414,8961,42,-1,mod
317902,1669293414,8961,42,-1,category
317901,1669293414,8961,42,-1,category
317900,1669293414,8961,42,-1,category
317899,1669293414,8961,42,-1,category
317898,1674569681,8961,42,-1,course
317896,1669293415,8965,42,-1,mod
317891,1669293415,8965,42,-1,mod
317890,1669293415,8965,42,-1,mod
317887,1669293415,8965,42,-1,mod
317886,1671530349,8965,42,6,mod
317883,1669293415,8965,42,-1,mod
317882,1669293415,8965,42,-1,mod
317881,1669293415,8965,42,-1,mod
317880,1669293415,8965,42,-1,mod
317879,1669293415,8965,42,-1,mod
317878,1669293415,8965,42,-1,mod
317877,1669293415,8965,42,-1,mod
317875,1669293415,8965,42,-1,mod
317873,1669293415,8965,42,-1,mod
317871,1669293415,8965,42,-1,mod
317870,1669293415,8965,42,-1,mod
317867,1669293415,8965,42,-1,mod
317866,1669293415,8965,42,-1,mod
317865,1669293415,8965,42,-1,mod
317864,1669293415,8965,42,-1,mod
317863,1669293415,8965,42,-1,mod
317861,1669293415,8965,42,-1,mod
317860,1669293415,8965,42,-1,mod
317859,1669293415,8965,42,-1,mod
317854,1669293415,8965,42,-1,mod
317853,1669293415,8965,42,-1,mod
317852,1669293415,8965,42,-1,mod
317851,1669293415,8965,42,-1,mod
317850,1669293415,8965,42,-1,mod
317849,1669293415,8965,42,-1,mod
317847,1669293415,8965,42,-1,mod
317844,1669293415,8965,42,-1,mod
317843,1669293415,8965,42,-1,mod
317842,1669293415,8965,42,-1,mod
317841,1669293415,8965,42,-1,mod
317840,1669293415,8965,42,-1,mod
317839,1669293415,8965,42,-1,mod
317838,1669293415,8965,42,-1,mod
317837,1669293415,8965,42,-1,mod
317829,1669293415,8965,42,-1,category
317828,1669293415,8965,42,-1,category
317827,1669293415,8965,42,-1,category
317826,1669293415,8965,42,-1,category
317825,1674569681,8965,42,-1,course
317824,1667905237,8965,42,4,mod
317823,1669293414,8964,42,-1,mod
317822,1669293414,8964,42,-1,mod
317821,1674412985,8964,42,4,mod
317820,1667902906,8964,42,6,mod
317818,1669293414,8964,42,-1,mod
317817,1666692203,8964,42,7,mod
317810,1669293414,8964,42,-1,mod
317809,1673946110,8964,42,9,mod
317808,1673945061,8964,42,9,mod
317807,1669293414,8964,42,-1,mod
317806,1669293414,8964,42,-1,mod
317805,1669293414,8964,42,-1,mod
317804,1669293414,8964,42,-1,mod
317802,1669293414,8964,42,-1,mod
317800,1669293414,8964,42,-1,mod
317798,1669293414,8964,42,-1,mod
317797,1669293414,8964,42,-1,mod
317794,1669293414,8964,42,-1,mod
317793,1669293414,8964,42,-1,mod
317792,1669293414,8964,42,-1,mod
317791,1669293414,8964,42,-1,mod
317790,1669293414,8964,42,-1,mod
317788,1669293414,8964,42,-1,mod
317786,1669293414,8964,42,-1,mod
317781,1669293414,8964,42,-1,mod
317780,1669293414,8964,42,-1,mod
317779,1669293414,8964,42,-1,mod
317778,1669293414,8964,42,-1,mod
317777,1669293414,8964,42,-1,mod
317776,1669293414,8964,42,-1,mod
317771,1669293414,8964,42,-1,mod
317770,1669293414,8964,42,-1,mod
317769,1669293414,8964,42,-1,mod
317768,1669293414,8964,42,-1,mod
317767,1669293414,8964,42,-1,mod
317766,1669293414,8964,42,-1,mod
317765,1669293414,8964,42,-1,mod
317764,1669293414,8964,42,-1,mod
317756,1669293414,8964,42,-1,category
317755,1669293414,8964,42,-1,category
317754,1669293414,8964,42,-1,category
317753,1669293414,8964,42,-1,category
317752,1674569681,8964,42,5,course
317751,1666018150,8964,42,7,mod
317682,1674569681,9978,42,-1,course
