id,timemodified,userid,courseid,finalgrade,itemtype
343971,1674400353,9148,3113,9,course
343970,1674400353,9357,3113,9,course
343969,1674400353,9095,3113,8,course
343962,1674467920,10004,2281,9,course
343961,1674467920,10004,2281,9,mod
343960,1674391507,8745,2922,9,course
343959,1674391507,8826,2922,9,course
343958,1674391507,8734,2922,9,course
343957,1674391507,10109,2922,9,course
343956,1674391507,8592,2922,9,course
343954,1674547350,10103,3133,9,course
343953,1674547350,10103,3133,9,mod
343952,1674477235,8773,2623,7,course
343951,1674477235,8302,2623,6,course
343950,1674477235,8737,2623,9,course
343949,1674477235,8314,2623,7,course
343948,1674477235,8721,2623,8,course
343947,1674477235,8492,2623,8,course
343946,1674477235,8490,2623,10,course
343945,1674477235,8329,2623,8,course
343944,1674477235,8649,2623,8,course
343943,1674477235,8598,2623,9,course
343942,1674384210,9305,2036,10,mod
343941,1674379558,9867,3090,-1,mod
343940,1674379740,9867,3090,0,course
343939,1674379558,9867,3090,-1,mod
343938,1674379437,9868,3090,7,mod
343937,1674379740,9868,3090,0,course
343936,1674379558,9868,3090,-1,mod
343935,1674379558,9858,3090,-1,mod
343934,1674379740,9858,3090,0,course
