id,eventname,component,action,target,objecttable,objectid,crud,edulevel,contextid,contextlevel,contextinstanceid,userid,courseid,relateduserid,anonymous,other,timecreated,origin,ip,realuserid
9757,\core\event\course_restored,core,restored,course,course,2,c,1,14,50,2,2,2,,0,"{""type"":""course"",""target"":3,""mode"":70,""operation"":""restore"",""samesite"":false,""settings"":{""users"":{},""enrolments"":{},""role_assignments"":{},""permissions"":{},""activities"":{},""blocks"":{},""filters"":{},""comments"":{},""badges"":{},""calendarevents"":{},""userscompletion"":{},""logs"":{},""grade_histories"":{},""groups"":{},""competencies"":{},""customfield"":{},""contentbankcontent"":{},""xapistate"":{},""legacyfiles"":{},""overwrite_conf"":{},""course_fullname"":{},""course_shortname"":{},""course_startdate"":{},""keep_roles_and_enrolments"":{},""keep_groups_and_groupings"":{},""section_33_included"":{},""section_33_userinfo"":{},""forum_52_included"":{},""forum_52_userinfo"":{},""qbank_60_included"":{},""qbank_60_userinfo"":{},""quiz_102_included"":{},""quiz_102_userinfo"":{},""quiz_103_included"":{},""quiz_103_userinfo"":{},""quiz_104_included"":{},""quiz_104_userinfo"":{},""quiz_105_included"":{},""quiz_105_userinfo"":{},""lti_119_included"":{},""lti_119_userinfo"":{},""section_34_included"":{},""section_34_userinfo"":{},""subsection_53_included"":{},""subsection_53_userinfo"":{},""section_38_included"":{},""section_38_userinfo"":{},""resource_62_included"":{},""resource_62_userinfo"":{},""hvp_63_included"":{},""hvp_63_userinfo"":{},""quiz_61_included"":{},""quiz_61_userinfo"":{},""quiz_106_included"":{},""quiz_106_userinfo"":{},""quiz_107_included"":{},""quiz_107_userinfo"":{},""subsection_54_included"":{},""subsection_54_userinfo"":{},""section_39_included"":{},""section_39_userinfo"":{},""resource_64_included"":{},""resource_64_userinfo"":{},""hvp_65_included"":{},""hvp_65_userinfo"":{},""quiz_66_included"":{},""quiz_66_userinfo"":{},""quiz_108_included"":{},""quiz_108_userinfo"":{},""quiz_109_included"":{},""quiz_109_userinfo"":{},""section_35_included"":{},""section_35_userinfo"":{},""subsection_55_included"":{},""subsection_55_userinfo"":{},""section_40_included"":{},""section_40_userinfo"":{},""hvp_67_included"":{},""hvp_67_userinfo"":{},""resource_68_included"":{},""resource_68_userinfo"":{},""quiz_75_included"":{},""quiz_75_userinfo"":{},""quiz_110_included"":{},""quiz_110_userinfo"":{},""quiz_111_included"":{},""quiz_111_userinfo"":{},""subsection_56_included"":{},""subsection_56_userinfo"":{},""section_41_included"":{},""section_41_userinfo"":{},""hvp_69_included"":{},""hvp_69_userinfo"":{},""resource_70_included"":{},""resource_70_userinfo"":{},""quiz_76_included"":{},""quiz_76_userinfo"":{},""quiz_112_included"":{},""quiz_112_userinfo"":{},""quiz_113_included"":{},""quiz_113_userinfo"":{},""subsection_57_included"":{},""subsection_57_userinfo"":{},""section_42_included"":{},""section_42_userinfo"":{},""hvp_71_included"":{},""hvp_71_userinfo"":{},""resource_72_included"":{},""resource_72_userinfo"":{},""quiz_77_included"":{},""quiz_77_userinfo"":{},""quiz_114_included"":{},""quiz_114_userinfo"":{},""quiz_115_included"":{},""quiz_115_userinfo"":{},""section_36_included"":{},""section_36_userinfo"":{},""subsection_58_included"":{},""subsection_58_userinfo"":{},""section_43_included"":{},""section_43_userinfo"":{},""hvp_73_included"":{},""hvp_73_userinfo"":{},""resource_74_included"":{},""resource_74_userinfo"":{},""quiz_78_included"":{},""quiz_78_userinfo"":{},""quiz_116_included"":{},""quiz_116_userinfo"":{},""quiz_117_included"":{},""quiz_117_userinfo"":{}}}",1761447459,restore,,
9759,\core\event\grade_item_updated,core,updated,grade_item,grade_items,37,u,0,14,50,2,2,2,,0,"{""itemname"":""b\u00e0i ki\u1ec3m tra b\u00e0i 1 - easy"",""itemtype"":""mod"",""itemmodule"":""quiz""}",1761447459,cli,,
9760,\core\event\grade_item_updated,core,updated,grade_item,grade_items,36,u,0,14,50,2,2,2,,0,"{""itemname"":""Video b\u00e0i gi\u1ea3ng b\u00e0i 1"",""itemtype"":""mod"",""itemmodule"":""hvp""}",1761447459,cli,,
9761,\core\event\grade_item_updated,core,updated,grade_item,grade_items,40,u,0,14,50,2,2,2,,0,"{""itemname"":""Video b\u00e0i gi\u1ea3ng b\u00e0i 2"",""itemtype"":""mod"",""itemmodule"":""hvp""}",1761447459,cli,,
9762,\core\event\grade_item_updated,core,updated,grade_item,grade_items,41,u,0,14,50,2,2,2,,0,"{""itemname"":""b\u00e0i ki\u1ec3m tra b\u00e0i 2 - easy"",""itemtype"":""mod"",""itemmodule"":""quiz""}",1761447459,cli,,
9763,\core\event\grade_item_updated,core,updated,grade_item,grade_items,44,u,0,14,50,2,2,2,,0,"{""itemname"":""Video b\u00e0i gi\u1ea3ng b\u00e0i 3"",""itemtype"":""mod"",""itemmodule"":""hvp""}",1761447459,cli,,
9764,\core\event\grade_item_updated,core,updated,grade_item,grade_items,48,u,0,14,50,2,2,2,,0,"{""itemname"":""Video b\u00e0i gi\u1ea3ng b\u00e0i 4"",""itemtype"":""mod"",""itemmodule"":""hvp""}",1761447459,cli,,
9620,\core\event\grade_item_created,core,created,grade_item,grade_items,37,c,0,14,50,2,2,2,,0,"{""itemname"":""b\u00e0i ki\u1ec3m tra b\u00e0i 1 - easy"",""itemtype"":""mod"",""itemmodule"":""quiz""}",1761447458,restore,,
9621,\core\event\grade_item_updated,core,updated,grade_item,grade_items,37,u,0,14,50,2,2,2,,0,"{""itemname"":""b\u00e0i ki\u1ec3m tra b\u00e0i 1 - easy"",""itemtype"":""mod"",""itemmodule"":""quiz""}",1761447458,restore,,
9622,\core\event\tag_added,core,added,tag,tag_instance,356,c,0,289,70,57,2,2,,0,"{""tagid"":""2"",""tagname"":""medium"",""tagrawname"":""medium"",""itemid"":57,""itemtype"":""course_modules""}",1761447458,restore,,
