state,action,q_value
1_3_True_0.00_1_0.00_1,Go_to_low_level,1.0283616348171416
1_2_True_1.00_3_0.00_1,Stay,-1.562172343986414
1_2_True_1.00_3_0.00_1,Go_to_high_level,0.3517461292709889
1_2_True_1.00_3_0.00_1,Next,0.25352373081996343
0_1_False_2.00_0_1.00_1,Stay,-1.5360563289260423
0_1_False_2.00_0_1.00_1,Go_to_high_level,1.1632490853318076
0_2_True_1.00_3_1.00_1,Stay,0.5314644983469978
0_2_True_1.00_3_1.00_1,Previous,3.0222614935196677
1_3_True_0.00_1_1.00_1,Go_to_high_level,2.88887684075598
1_3_True_0.00_1_1.00_1,Go_to_low_level,0.6570244832837
0_2_True_1.00_3_0.00_1,Go_to_high_level,4.671746934558604
0_2_True_0.00_2_0.00_0,Next,9.016023064332973
1_4_True_1.00_3_1.00_2,Stay,-0.59093439
1_4_True_1.00_3_1.00_2,Next,1.9879624277911818
1_2_True_1.00_1_1.00_2,Next,2.6237145252395186
1_4_True_1.00_1_1.00_2,Go_to_low_level,-0.2945130013406158
1_3_True_0.00_1_0.00_0,Previous,4.276785420961003
1_3_True_0.00_1_0.00_0,Next,1.1181685370887013
1_3_True_1.00_3_1.00_0,Next,2.0755859003826203
1_2_True_0.00_3_1.00_0,Previous,0.25794059936239344
1_2_True_0.00_2_1.00_0,Go_to_low_level,0.2676842102300428
1_3_True_0.00_2_0.00_0,Go_to_high_level,7.028828518291283
0_2_True_0.00_1_0.00_0,Previous,3.460367853151977
0_1_False_2.00_0_1.00_0,Previous,-0.1771900964371762
0_1_False_2.00_0_1.00_0,Next,5.864897168483325
0_1_False_2.00_0_1.00_0,Stay,0.2200810171936375
0_2_True_0.00_3_1.00_0,Go_to_low_level,9.239631388445689
0_2_True_0.00_3_1.00_0,Go_to_high_level,2.006194908423207
0_2_True_2.00_3_1.00_0,Go_to_high_level,1.1117659585032156
0_2_True_2.00_3_1.00_0,Stay,0.22877611859868027
1_3_True_2.00_3_0.00_5,Stay,-0.5918956421838
1_2_True_1.00_1_0.00_4,Go_to_high_level,1.0599777460000002
1_4_True_1.00_2_1.00_2,Next,4.562633962039713
1_4_True_1.00_2_1.00_2,Go_to_low_level,-0.16723979443612524
1_2_True_2.00_1_1.00_0,Stay,-0.38
